model_name,search,loop,mutant_number,depth,actual_tests,time_taken,status,return_code,failed_tests,seed
Array,bes,loops,2,3,19,1.505242109298706,killed_mutant,0,1,6a14aece
Array,bes,loops,5,3,3,0.8613529205322266,killed_mutant,0,1,6a14aece
Array,bes,loops,16,1,6,0.973402738571167,killed_mutant,0,1,141eb415
Array,bes,loops,19,2,6,0.8802599906921387,killed_mutant,0,1,433e6bd1
Array,bes,loops,30,3,3,0.9018759727478027,killed_mutant,0,1,6a14aece
Array,bes,loops,32,3,3,0.664208173751831,killed_mutant,0,1,6a14aece
Array,bes,loops,34,2,6,0.7182862758636475,killed_mutant,0,1,433e6bd1
Array,bes,loops,37,1,6,0.9298880100250244,killed_mutant,0,1,141eb415
Array,bes,loops,59,2,2,0.8283591270446777,killed_mutant,0,1,433e6bd1
Array,bes,loops,70,1,6,1.6781880855560303,killed_mutant,0,1,141eb415
Array,bes,loops,73,2,6,1.2655670642852783,killed_mutant,0,1,35f0469f
Array,bes,loops,74,2,9,1.2171180248260498,killed_mutant,0,1,433e6bd1
Array,bes,loops,75,1,8,0.901634931564331,killed_mutant,0,1,420feff0
Array,bes,loops,76,4,495,3.450725793838501,killed_mutant,0,1,71d798f3
Array,bes,loops,77,2,65,1.8978030681610107,killed_mutant,0,1,21caa194
Array,bes,loops,80,2,7,1.4740569591522217,killed_mutant,0,1,433e6bd1
Array,bes,loops,81,4,495,4.216195106506348,killed_mutant,0,1,71d798f3
Array,bes,loops,88,1,1,1.2322921752929688,invoke_error,1,1,141eb415
Array,bes,loops,100,3,80,1.8405160903930664,killed_mutant,0,1,4f39bb93
